dataset_id,subject_id,session_id,condition_label,task_label,out_group,in_group,out_dim,in_dim,n_timepoints,block_trace_mean,block_frobenius_mean,block_anisotropy_mean,c_sym_mean,c_rot_mean
ds003478:sub-006:rest_Rest_run-02,sub-006,,rest,Rest,m,m,3,3,39,0.1116384961284124,0.27388039231300354,218.69066486603174,,
ds003478:sub-006:rest_Rest_run-02,sub-006,,rest,Rest,m,d,3,3,39,,0.20973777770996094,,0.24852641977560827,0.2891107705923227
ds003478:sub-006:rest_Rest_run-02,sub-006,,rest,Rest,m,e,3,3,39,,0.2606812119483948,,0.32969764237984633,0.3488519182189917
ds003478:sub-006:rest_Rest_run-02,sub-006,,rest,Rest,d,m,3,3,39,,0.4864717125892639,,0.24852641977560827,0.2891107705923227
ds003478:sub-006:rest_Rest_run-02,sub-006,,rest,Rest,d,d,3,3,39,-0.11795726026862095,0.18654072284698486,52.72057768626091,,
ds003478:sub-006:rest_Rest_run-02,sub-006,,rest,Rest,d,e,3,3,39,,0.25488218665122986,,0.16165016419612444,0.16232636723762903
ds003478:sub-006:rest_Rest_run-02,sub-006,,rest,Rest,e,m,3,3,39,,0.620689332485199,,0.32969764237984633,0.3488519182189917
ds003478:sub-006:rest_Rest_run-02,sub-006,,rest,Rest,e,d,3,3,39,,0.18852882087230682,,0.16165016419612444,0.16232636723762903
ds003478:sub-006:rest_Rest_run-02,sub-006,,rest,Rest,e,e,3,3,39,0.025077835620882418,0.11963439732789993,,,
ds003478:sub-004:rest_Rest_run-02,sub-004,,rest,Rest,m,m,3,3,42,-0.04441417881198937,0.20536120235919952,135.1898949032738,,
ds003478:sub-004:rest_Rest_run-02,sub-004,,rest,Rest,m,d,3,3,42,,0.140711709856987,,0.10312236242351078,0.12036046438983508
ds003478:sub-004:rest_Rest_run-02,sub-004,,rest,Rest,m,e,3,3,42,,0.08631129562854767,,0.11687928890543324,0.11241027961174647
ds003478:sub-004:rest_Rest_run-02,sub-004,,rest,Rest,d,m,3,3,42,,0.1715155839920044,,0.10312236242351078,0.12036046438983508
ds003478:sub-004:rest_Rest_run-02,sub-004,,rest,Rest,d,d,3,3,42,0.02835799613967538,0.11050738394260406,45.72926139831543,,
ds003478:sub-004:rest_Rest_run-02,sub-004,,rest,Rest,d,e,3,3,42,,0.08565723150968552,,0.0736556952109649,0.07982997285823028
ds003478:sub-004:rest_Rest_run-02,sub-004,,rest,Rest,e,m,3,3,42,,0.20917420089244843,,0.11687928890543324,0.11241027961174647
ds003478:sub-004:rest_Rest_run-02,sub-004,,rest,Rest,e,d,3,3,42,,0.11800915747880936,,0.0736556952109649,0.07982997285823028
ds003478:sub-004:rest_Rest_run-02,sub-004,,rest,Rest,e,e,3,3,42,-0.029160063115081618,0.09150154888629913,,,
ds003478:sub-005:rest_Rest_run-02,sub-005,,rest,Rest,m,m,3,3,53,-0.005534725896311256,0.1638052761554718,335.82489780210096,,
ds003478:sub-005:rest_Rest_run-02,sub-005,,rest,Rest,m,d,3,3,53,,0.15237672626972198,,0.13320188182142545,0.15144892571107396
ds003478:sub-005:rest_Rest_run-02,sub-005,,rest,Rest,m,e,3,3,53,,0.2157837301492691,,0.20400856182260332,0.20440608291131146
ds003478:sub-005:rest_Rest_run-02,sub-005,,rest,Rest,d,m,3,3,53,,0.22792090475559235,,0.13320188182142545,0.15144892571107396
ds003478:sub-005:rest_Rest_run-02,sub-005,,rest,Rest,d,d,3,3,53,-0.0023881341945731415,0.11270346492528915,55.24332889071051,,
ds003478:sub-005:rest_Rest_run-02,sub-005,,rest,Rest,d,e,3,3,53,,0.255759060382843,,0.16418274759121662,0.17488265838825479
ds003478:sub-005:rest_Rest_run-02,sub-005,,rest,Rest,e,m,3,3,53,,0.33504486083984375,,0.20400856182260332,0.20440608291131146
ds003478:sub-005:rest_Rest_run-02,sub-005,,rest,Rest,e,d,3,3,53,,0.198653906583786,,0.16418274759121662,0.17488265838825479
ds003478:sub-005:rest_Rest_run-02,sub-005,,rest,Rest,e,e,3,3,53,0.015058635224430066,0.3011437654495239,104.20735735263465,,
ds003478:sub-001:rest_Rest_run-02,sub-001,,rest,Rest,m,m,3,3,89,-0.06622377010010015,0.16122376918792725,35.14472491821546,,
ds003478:sub-001:rest_Rest_run-02,sub-001,,rest,Rest,m,d,3,3,89,,0.3185911178588867,,0.1774885147140267,0.17813632980491337
ds003478:sub-001:rest_Rest_run-02,sub-001,,rest,Rest,m,e,3,3,89,,0.2118646502494812,,0.14088116029507658,0.1564973307710685
ds003478:sub-001:rest_Rest_run-02,sub-001,,rest,Rest,d,m,3,3,89,,0.13859066367149353,,0.1774885147140267,0.17813632980491337
ds003478:sub-001:rest_Rest_run-02,sub-001,,rest,Rest,d,d,3,3,89,-0.007689942456677221,0.1864202320575714,38.64321318637119,,
ds003478:sub-001:rest_Rest_run-02,sub-001,,rest,Rest,d,e,3,3,89,,0.13839955627918243,,0.1456978152809518,0.18589642920186011
ds003478:sub-001:rest_Rest_run-02,sub-001,,rest,Rest,e,m,3,3,89,,0.20206661522388458,,0.14088116029507658,0.1564973307710685
ds003478:sub-001:rest_Rest_run-02,sub-001,,rest,Rest,e,d,3,3,89,,0.29108962416648865,,0.1456978152809518,0.18589642920186011
ds003478:sub-001:rest_Rest_run-02,sub-001,,rest,Rest,e,e,3,3,89,0.10507807716873757,0.239211305975914,,,
ds003478:sub-002:rest_Rest_run-02,sub-002,,rest,Rest,m,m,3,3,88,0.09090486330255358,0.2701135575771332,109.86923223462972,,
ds003478:sub-002:rest_Rest_run-02,sub-002,,rest,Rest,m,d,3,3,88,,0.16054435074329376,,0.1605651697821238,0.16900801709429783
ds003478:sub-002:rest_Rest_run-02,sub-002,,rest,Rest,m,e,3,3,88,,0.09408116340637207,,0.1629600723866712,0.17596051676876165
ds003478:sub-002:rest_Rest_run-02,sub-002,,rest,Rest,d,m,3,3,88,,0.28390613198280334,,0.1605651697821238,0.16900801709429783
ds003478:sub-002:rest_Rest_run-02,sub-002,,rest,Rest,d,d,3,3,88,-0.0012365666599097576,0.17795506119728088,114.86719102209264,,
ds003478:sub-002:rest_Rest_run-02,sub-002,,rest,Rest,d,e,3,3,88,,0.10209334641695023,,0.09758452643555673,0.11609282361512835
ds003478:sub-002:rest_Rest_run-02,sub-002,,rest,Rest,e,m,3,3,88,,0.32092246413230896,,0.1629600723866712,0.17596051676876165
ds003478:sub-002:rest_Rest_run-02,sub-002,,rest,Rest,e,d,3,3,88,,0.1868605613708496,,0.09758452643555673,0.11609282361512835
ds003478:sub-002:rest_Rest_run-02,sub-002,,rest,Rest,e,e,3,3,88,-0.05088713522391944,0.108818419277668,,,
ds003478:sub-003:rest_Rest_run-02,sub-003,,rest,Rest,m,m,3,3,98,0.0358673869061987,0.2654988169670105,159.66347177174626,,
ds003478:sub-003:rest_Rest_run-02,sub-003,,rest,Rest,m,d,3,3,98,,0.1702587604522705,,0.18146798402375106,0.17704452844146562
ds003478:sub-003:rest_Rest_run-02,sub-003,,rest,Rest,m,e,3,3,98,,0.1331111192703247,,0.18873874789902143,0.189858276206924
ds003478:sub-003:rest_Rest_run-02,sub-003,,rest,Rest,d,m,3,3,98,,0.30146723985671997,,0.18146798402375106,0.17704452844146562
ds003478:sub-003:rest_Rest_run-02,sub-003,,rest,Rest,d,d,3,3,98,-0.03406746289217655,0.16812407970428467,16.395564380957154,,
ds003478:sub-003:rest_Rest_run-02,sub-003,,rest,Rest,d,e,3,3,98,,0.10667629539966583,,0.09502987890523307,0.10724358503915826
ds003478:sub-003:rest_Rest_run-02,sub-003,,rest,Rest,e,m,3,3,98,,0.3442615568637848,,0.18873874789902143,0.189858276206924
ds003478:sub-003:rest_Rest_run-02,sub-003,,rest,Rest,e,d,3,3,98,,0.16998597979545593,,0.09502987890523307,0.10724358503915826
ds003478:sub-003:rest_Rest_run-02,sub-003,,rest,Rest,e,e,3,3,98,0.0157569169983914,0.16574308276176453,,,
ds003478:sub-005:rest_Rest_run-01,sub-005,,rest,Rest,m,m,3,3,119,-0.05847512321750156,0.3259090781211853,250.64371561403033,,
ds003478:sub-005:rest_Rest_run-01,sub-005,,rest,Rest,m,d,3,3,119,,0.21023471653461456,,0.21899357857573934,0.2297136563839031
ds003478:sub-005:rest_Rest_run-01,sub-005,,rest,Rest,m,e,3,3,119,,0.23015077412128448,,0.2385306133567786,0.2563261430428809
ds003478:sub-005:rest_Rest_run-01,sub-005,,rest,Rest,d,m,3,3,119,,0.37704363465309143,,0.21899357857573934,0.2297136563839031
ds003478:sub-005:rest_Rest_run-01,sub-005,,rest,Rest,d,d,3,3,119,0.018107873004148987,0.22723689675331116,66.68460063373341,,
ds003478:sub-005:rest_Rest_run-01,sub-005,,rest,Rest,d,e,3,3,119,,0.2186528742313385,,0.1679184037972899,0.1708549061054442
ds003478:sub-005:rest_Rest_run-01,sub-005,,rest,Rest,e,m,3,3,119,,0.41330212354660034,,0.2385306133567786,0.2563261430428809
